TIG_PostNL2014::Enabled,Geactiveerd
TIG_PostNL2014::Title,Titel
TIG_PostNL2014::Method Name,Methode naam
TIG_PostNL2014::Rate Type,Tarief type
TIG_PostNL2014::Type,Type
TIG_PostNL2014::Price,Prijs
TIG_PostNL2014::PostNL location active,PostNL locatie actief
TIG_PostNL2014::PostNL location fee,PostNL locatie afhandelingskosten
TIG_PostNL2014::Condition,Voorwaarde
TIG_PostNL2014::Calculate Handling Fee,Verzendkosten berekeningswijze
TIG_PostNL2014::Handling Fee,Afhandelingskosten
TIG_PostNL2014::Ship to Applicable Countries,Verzend naar beschikbare landen
TIG_PostNL2014::Ship to Specific Countries,Verzend naar specifieke landen
TIG_PostNL2014::Sort Order,Sorteer bestelling
TIG_PostNL2014::Default Shipment Settings,Standaard verzendinstellingen
TIG_PostNL2014::Home address only,Alleen huisadres
TIG_PostNL2014::Signature on receipt,Handtekening voor ontvangst
TIG_PostNL2014::Return if no answer,Retour bij niet aanwezig
TIG_PostNL2014::Large package,Groot pakket
TIG_PostNL2014::Insured up to &euro; 50,Verzekerd tot &euro; 50
TIG_PostNL2014::For NL shipping only,Alleen voor Nederlandse verzendingen
TIG_PostNL2014::Insured up to &euro; 250,Verzekerd tot &euro; 250
"TIG_PostNL2014::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
TIG_PostNL2014::Insured up to &euro; 500,Verzekerd tot &euro; 500
"TIG_PostNL2014::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
TIG_PostNL2014::Automatically next status,Automatisch volgende status
TIG_PostNL2014::Turn the order automatically to the next status after creating a label,Zet de status van een order automatisch naar de volgende status bij het aanmaken van een label
TIG_PostNL2014::Customs Shipment Type,Douane verzend type
TIG_PostNL2014::Customs Content HS Code,Douane goederen HS code
"TIG_PostNL2014::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>". HS codes can also be connected to categories. The data you enter here will be used as default.,"Standaard goederen type voor Cross Domestic producten, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de juiste HS code. Maximaal 4 karakters. HS codes kan ook gekoppeld worden per categorie. De gegevens die je hier invoert zal als standaard waarde gebruikt worden."
TIG_PostNL2014::Edit options,Opties bewerken
"TIG_PostNL2014::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken. <br/><br/>De opties ""Alleen huisadres"", ""Handtekening bij ontvangst"", ""Retour bij niet aanwezig"" en de verschillende verzekeringen worden actief op basis van het totale order bedrag. Bijvoorbeeld, als u bij ""alleen huisadres"" 50 invult, dan wordt voor alle zendingen voor orders vanaf &euro; 50 standaard de instelling ""alleen huisadres"" aangevinkt. Of als u bij ""Verzekerd tot &euro; 250,-"" het getal 150 invult, dan worden alle orders vanaf &euro; 150 standaard verzekerd voor &euro; 250,- inkoopwaarde.<br/><br/>Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code. Deze waardes kunt u nog aanpassen wanneer u uw zending verwerkt."
TIG_PostNL2014::Retourlink e-mail Template,Retourlink e-mail Template
TIG_PostNL2014::PLACEHOLDER,PLACEHOLDER
TIG_PostNL2014::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"TIG_PostNL2014::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken. Zie voor details de <a target=""_blank"" href=""http://kb.tig.nl/topic/98526863"">KB</a>"
TIG_PostNL2014::Print Orientation,Print ori&euml;ntatie
TIG_PostNL2014::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
TIG_PostNL2014::Enable test modus,Activeer test modus
TIG_PostNL2014::Enable to test the extension,Activeer om test verzendingen te kunnen maken
TIG_PostNL2014::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
TIG_PostNL2014::General settings,Algemene instellingen
TIG_PostNL2014::Basic settings,Basis instellingen
TIG_PostNL2014::Checkout settings,Checkout instellingen
TIG_PostNL2014::Cut-off time,Het laatste bestelmoment
"TIG_PostNL2014::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Als een bestelling tussen vrijdag na, en maandag voor, het opgegeven bestelmoment wordt gedaan dan zal dinsdag worden getoond als eerstvolgende afleverdag."
TIG_PostNL2014::Numbers of days,Aantal dagen vooruit
TIG_PostNL2014::day,dag
TIG_PostNL2014::days,dagen
TIG_PostNL2014::Hide days,Dagen verbergen
TIG_PostNL2014::Drop-off days,Verzenddagen
"TIG_PostNL2014::Monday","Maandag"
TIG_PostNL2014::Tuesday,Dinsdag
TIG_PostNL2014::Wednesday,Woensdag
TIG_PostNL2014::Thursday,Donderdag
TIG_PostNL2014::Friday,Vrijdag
TIG_PostNL2014::Saturday,Zaterdag
TIG_PostNL2014::Monday delivery,Maandagbezorging
TIG_PostNL2014::Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations. Click <a href="https://blog.postnl.nl/maandagbezorging" target="_blank">here</a> for more information concerning Monday delivery and the locations.,Let op: Maandaglevering is alleen mogelijk wanneer zaterdag het pakket voor 15.00 wordt geleverd bij één van de hiervoor bestemde PostNL locaties. Klik <a href="https://blog.postnl.nl/maandagbezorging" target="_blank">hier</a> voor de locaties en meer informatie omtrent de maandaglevering.
TIG_PostNL2014::Monday delivery cut-off time,Laatste bestelmoment voor maandagbezorging
"TIG_PostNL2014::If a request is made before this time on Saturday, Monday will be shown as the next possible delivery date. ","Als een bestelling voor dit tijdstip op zaterdag wordt gedaan zal maandag als eerstvolgende afleverdag worden getoond."
TIG_PostNL2014::Dropoff-delay,Vertraging
"TIG_PostNL2014::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at PostNL when ordered before the cutoff time.","Stel hier het aantal dagen in die je nodig hebt om het product (te ontvangen,) te verpakken en aan te bieden bij PostNL, vanaf het moment dat de bestelling is geplaatst."
TIG_PostNL2014::No delay,Geen vertraging
TIG_PostNL2014::Add style to the checkout,Voeg een css file toe aan de checkout
TIG_PostNL2014::Font size,Lettertypegrootte
TIG_PostNL2014::Leave blank to automatically determine the font size,Laat leeg om de lettertypegrootte automatisch te bepalen
TIG_PostNL2014::Delivery,Bezorging
TIG_PostNL2014::Delivery title,Bezorging titel
TIG_PostNL2014::Retrieve address title,Adres ophalen titel
TIG_PostNL2014::Busy loading title,Bezig met laden titel
TIG_PostNL2014::Standard delivery title, Standaardlevering titel
TIG_PostNL2014::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Om de basisprijs te bepalen moet je navigeren naar <a id=""shipping_method_link"">Verzendmethodes</a>
TIG_PostNL2014::Deliver the package only at address of the intended recipient,Lever het pakket alleen aan het adres van de beoogde ontvanger.
TIG_PostNL2014::Home address only title,Alleen huisadres titel
TIG_PostNL2014::Home address only fee,Alleen huisadres prijs
TIG_PostNL2014::Signature on receipt title,Handtekening voor ontvangst titel
TIG_PostNL2014::Signature on receipt fee,Handtekening voor ontvangst prijs
TIG_PostNL2014::Home address only and signature on receipt together fee,De prijs van handtekening voor ontvangst en alleen huisadres samen
TIG_PostNL2014::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Als beide geselecteerd zijn zal deze prijs bij de normale verzendkosten worden opgeteld. Laat leeg om dit niet te gebruiken.
TIG_PostNL2014::Morning delivery,Ochtendlevering
TIG_PostNL2014::Morning delivery active,Ochtendlevering actief
TIG_PostNL2014::Morning delivery title, Ochtendlevering titel
TIG_PostNL2014::Morning delivery fee,Ochtendlevering prijs
TIG_PostNL2014::Evening delivery,Avondlevering
TIG_PostNL2014::Evening delivery active,Avondlevering actief
TIG_PostNL2014::Evening delivery title, Avondlevering titel
TIG_PostNL2014::Evening delivery fee,Avondlevering prijs
TIG_PostNL2014::Pickup at PostNL location,Ophalen bij PostNL locatie
TIG_PostNL2014::Pickup active,Ophalen actief
TIG_PostNL2014::Pickup title,Ophalen titel
TIG_PostNL2014::Pickup fee,Ophalen prijs
TIG_PostNL2014::Pickup Express at PostNL location,Extra vroeg ophalen bij PostNL locatie
TIG_PostNL2014::Pickup Express active,Extra vroeg ophalen actief
TIG_PostNL2014::Pickup Express fee,Extra vroeg ophalen prijs
TIG_PostNL2014::Pickup at Belgium PostNL location,Ophalen bij een Belgische PostNL locatie
TIG_PostNL2014::Pickup Belgium active,Ophalen België actief
TIG_PostNL2014::Pickup Belgium title,Ophalen België titel
TIG_PostNL2014::Pickup Belgium fee,Ophalen België prijs
TIG_PostNL2014::API Key,API Key,
TIG_PostNL2014::The API Key.,Stel hier de API key in.
TIG_PostNL2014::Your username.,Vul hier de gebruikersnaam in voor het platform
TIG_PostNL2014::To get your personal API credentials you should contact us.,Neem contact met ons op om de API gegevens te ontvangen.
TIG_PostNL2014::API settings,API Instellingen
TIG_PostNL2014::Wrong API key. Go to PostNL settings to set the API key.,Verkeerde API key. Ga naar de instellingen van de PostNL plugin om de juiste API key in te vullen.
TIG_PostNL2014::Version &amp; Support,Versie &amp; Support
TIG_PostNL2014::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
TIG_PostNL2014::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
TIG_PostNL2014::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
TIG_PostNL2014::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
TIG_PostNL2014::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
TIG_PostNL2014::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
TIG_PostNL2014::PostNL replied with the following warnings:,PostNL heeft geantwoord met de volgende waarschuwingen:
TIG_PostNL2014::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
TIG_PostNL2014::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
TIG_PostNL2014::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s.
TIG_PostNL2014::Address is too long. Make the delivery address less than 40 characters. Click on send (in the order detail page) to create a concept. And then edit the shipment in the backoffice.,Adres is te lang. Maak het bezorgadres korter dan 40 tekens. Klik op verzenden (in de order detailpagina) om een concept aan te maken. En bewerk de zending vervolgens in de backoffice.
TIG_PostNL2014::Something went wrong with splitting up address %s.,Er is iets fout gegaan met het opsplitsen van adres %s. Voeg het adres handmatig toe in de backoffice.
TIG_PostNL2014::Something went wrong with splitting up housenumber %s.,Er is iets fout gegaan met het opsplitsen van huisnummer %s. Voeg het adres handmatig toe in de backoffice.
TIG_PostNL2014::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
TIG_PostNL2014::Invalid session requested.,Invalide sessie opgevraagd
TIG_PostNL2014::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
TIG_PostNL2014::No message supplied.,Geen bericht meegegeven
TIG_PostNL2014::No message type supplied.,Geen bericht-type meegegeven
TIG_PostNL2014::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
TIG_PostNL2014::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
TIG_PostNL2014::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
TIG_PostNL2014::Invalid createConsignment response.,Invalide createConsignment antwoord
TIG_PostNL2014::Streetname is to long: %s.,Straatnaam is te lang: %s (gebruikt maximaal 40 letters)
TIG_PostNL2014::Shipping status,Verzend status
TIG_PostNL2014::PostNL - Create Shipments,PostNL - Cre&euml;er verzendingen
TIG_PostNL2014::PostNL - Print shipping labels,PostNL - Print verzend labels
TIG_PostNL2014::Download log files,Download log bestanden
TIG_PostNL2014::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
TIG_PostNL2014::Flat,Plat
TIG_PostNL2014::Table,Tabel
TIG_PostNL2014::Invalid PakjeGemak address.,Ongeldig PostNL locatie adres.
TIG_PostNL2014::Invalid phone number.,Invalide telefoonnummer.
TIG_PostNL2014::Invalid housenumber extension.,Invalide huisnummer extensie.
TIG_PostNL2014::A4,A4
TIG_PostNL2014::A6,A6
TIG_PostNL2014::Commercial Goods,Commerciele goederen
TIG_PostNL2014::Commercial Sample,Commercieel Proef
TIG_PostNL2014::Documents,Documenten
TIG_PostNL2014::Gift,Gift
TIG_PostNL2014::Returned Goods,Retour goederen
TIG_PostNL2014::Yes,Ja
TIG_PostNL2014::No,Nee
TIG_PostNL2014::Postnl Consignment Options,PostNL Verzend Opties
TIG_PostNL2014::Insured amount,Verzekerd bedrag
