DMP_PostNL::Enabled,Geactiveerd
DMP_PostNL::Title,Titel
DMP_PostNL::Method Name,Methode naam
DMP_PostNL::Rate Type,Tarief type
DMP_PostNL::Type,Type
DMP_PostNL::Price,Prijs
DMP_PostNL::PostNL location active,PostNL locatie actief
DMP_PostNL::PostNL location fee,PostNL locatie afhandelingskosten
DMP_PostNL::Condition,Voorwaarde
DMP_PostNL::Calculate Handling Fee,Verzendkosten berekeningswijze
DMP_PostNL::Handling Fee,Afhandelingskosten
DMP_PostNL::Ship to Applicable Countries,Verzend naar beschikbare landen
DMP_PostNL::Ship to Specific Countries,Verzend naar specifieke landen
DMP_PostNL::Sort Order,Sorteer bestelling
DMP_PostNL::Default Shipment Settings,Standaard verzendinstellingen
DMP_PostNL::Home address only,Alleen huisadres
DMP_PostNL::Signature on receipt,Handtekening voor ontvangst
DMP_PostNL::Return if no answer,Retour bij niet aanwezig
DMP_PostNL::Large package,Groot pakket
DMP_PostNL::Insured up to &euro; 50,Verzekerd tot &euro; 50
DMP_PostNL::For NL shipping only,Alleen voor Nederlandse verzendingen
DMP_PostNL::Insured up to &euro; 250,Verzekerd tot &euro; 250
"DMP_PostNL::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
DMP_PostNL::Insured up to &euro; 500,Verzekerd tot &euro; 500
"DMP_PostNL::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
DMP_PostNL::Automatically next status,Automatisch volgende status
DMP_PostNL::Turn the order automatically to the next status after creating a label,Zet de status van een order automatisch naar de volgende status bij het aanmaken van een label
DMP_PostNL::Customs Shipment Type,Douane verzend type
DMP_PostNL::Customs Content HS Code,Douane goederen HS code
"DMP_PostNL::Default content type for Cross Domestic products, see <a href=""https://tarief.douane.nl/arctictariff-public-web/#!/home"" target=""_blank"">https://tarief.douane.nl/</a>"". HS codes can also be connected to categories. The data you enter here will be used as default.,""Standaard goederen type voor Cross Domestic producten, zie <a href=""https://tarief.douane.nl/arctictariff-public-web/#!/home"" target=""_blank"">https://tarief.douane.nl/a> voor de juiste HS code. Maximaal 4 karakters. HS codes kan ook gekoppeld worden per categorie. De gegevens die je hier invoert zal als standaard waarde gebruikt worden."
DMP_PostNL::Edit options,Opties bewerken
"DMP_PostNL::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken. <br/><br/>De opties ""Alleen huisadres"", ""Handtekening bij ontvangst"", ""Retour bij niet aanwezig"" en de verschillende verzekeringen worden actief op basis van het totale order bedrag. Bijvoorbeeld, als u bij ""alleen huisadres"" 50 invult, dan wordt voor alle zendingen voor orders vanaf &euro; 50 standaard de instelling ""alleen huisadres"" aangevinkt. Of als u bij ""Verzekerd tot &euro; 250,-"" het getal 150 invult, dan worden alle orders vanaf &euro; 150 standaard verzekerd voor &euro; 250,- inkoopwaarde.<br/><br/>Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code. Deze waardes kunt u nog aanpassen wanneer u uw zending verwerkt."
DMP_PostNL::Retourlink e-mail Template,Retourlink e-mail Template
DMP_PostNL::PLACEHOLDER,PLACEHOLDER
DMP_PostNL::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"DMP_PostNL::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken."
DMP_PostNL::Print Orientation,Print ori&euml;ntatie
DMP_PostNL::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
DMP_PostNL::Enable test modus,Activeer test modus
DMP_PostNL::Enable to test the extension,Activeer om test verzendingen te kunnen maken
DMP_PostNL::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
DMP_PostNL::General settings,Algemene instellingen
DMP_PostNL::Basic settings,Basis instellingen
DMP_PostNL::Checkout settings,Checkout instellingen
DMP_PostNL::Cut-off time,Het laatste bestelmoment
"DMP_PostNL::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Als een bestelling tussen vrijdag na, en maandag voor, het opgegeven bestelmoment wordt gedaan dan zal dinsdag worden getoond als eerstvolgende afleverdag."
DMP_PostNL::Numbers of days,Aantal dagen vooruit
DMP_PostNL::day,dag
DMP_PostNL::days,dagen
DMP_PostNL::Hide days,Dagen verbergen
DMP_PostNL::Drop-off days,Verzenddagen
"DMP_PostNL::Monday","Maandag"
DMP_PostNL::Tuesday,Dinsdag
DMP_PostNL::Wednesday,Woensdag
DMP_PostNL::Thursday,Donderdag
DMP_PostNL::Friday,Vrijdag
DMP_PostNL::Saturday,Zaterdag
DMP_PostNL::Monday delivery,Maandagbezorging
DMP_PostNL::Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations. Click <a href="https://blog.postnl.nl/maandagbezorging" target="_blank">here</a> for more information concerning Monday delivery and the locations.,Let op: Maandaglevering is alleen mogelijk wanneer zaterdag het pakket voor 15.00 wordt geleverd bij één van de hiervoor bestemde PostNL locaties. Klik <a href="https://blog.postnl.nl/maandagbezorging" target="_blank">hier</a> voor de locaties en meer informatie omtrent de maandaglevering.
DMP_PostNL::Monday delivery cut-off time,Laatste bestelmoment voor maandagbezorging
"DMP_PostNL::If a request is made before this time on Saturday, Monday will be shown as the next possible delivery date. ","Als een bestelling voor dit tijdstip op zaterdag wordt gedaan zal maandag als eerstvolgende afleverdag worden getoond."
DMP_PostNL::Dropoff-delay,Vertraging
"DMP_PostNL::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at PostNL when ordered before the cutoff time.","Stel hier het aantal dagen in die je nodig hebt om het product (te ontvangen,) te verpakken en aan te bieden bij PostNL, vanaf het moment dat de bestelling is geplaatst."
DMP_PostNL::No delay,Geen vertraging
DMP_PostNL::Add style to the checkout,Voeg een css file toe aan de checkout
DMP_PostNL::Font size,Lettertypegrootte
DMP_PostNL::Leave blank to automatically determine the font size,Laat leeg om de lettertypegrootte automatisch te bepalen
DMP_PostNL::Delivery,Bezorging
DMP_PostNL::Delivery title,Bezorging titel
DMP_PostNL::Retrieve address title,Adres ophalen titel
DMP_PostNL::Busy loading title,Bezig met laden titel
DMP_PostNL::Standard delivery title, Standaardlevering titel
DMP_PostNL::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Om de basisprijs te bepalen moet je navigeren naar <a id=""shipping_method_link"">Verzendmethodes</a>
DMP_PostNL::Deliver the package only at address of the intended recipient,Lever het pakket alleen aan het adres van de beoogde ontvanger.
DMP_PostNL::Home address only title,Alleen huisadres titel
DMP_PostNL::Home address only fee,Alleen huisadres prijs
DMP_PostNL::Signature on receipt title,Handtekening voor ontvangst titel
DMP_PostNL::Signature on receipt fee,Handtekening voor ontvangst prijs
DMP_PostNL::Home address only and signature on receipt together fee,De prijs van handtekening voor ontvangst en alleen huisadres samen
DMP_PostNL::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Als beide geselecteerd zijn zal deze prijs bij de normale verzendkosten worden opgeteld. Laat leeg om dit niet te gebruiken.
DMP_PostNL::Morning delivery,Ochtendlevering
DMP_PostNL::Morning delivery active,Ochtendlevering actief
DMP_PostNL::Morning delivery title, Ochtendlevering titel
DMP_PostNL::Morning delivery fee,Ochtendlevering prijs
DMP_PostNL::Evening delivery,Avondlevering
DMP_PostNL::Evening delivery active,Avondlevering actief
DMP_PostNL::Evening delivery title, Avondlevering titel
DMP_PostNL::Evening delivery fee,Avondlevering prijs
DMP_PostNL::Pickup at PostNL location,Ophalen bij PostNL locatie
DMP_PostNL::Pickup active,Ophalen actief
DMP_PostNL::Pickup title,Ophalen titel
DMP_PostNL::Pickup fee,Ophalen prijs
DMP_PostNL::Pickup Express at PostNL location,Extra vroeg ophalen bij PostNL locatie
DMP_PostNL::Pickup Express active,Extra vroeg ophalen actief
DMP_PostNL::Pickup Express fee,Extra vroeg ophalen prijs
DMP_PostNL::Pickup at Belgium PostNL location,Ophalen bij een Belgische PostNL locatie
DMP_PostNL::Pickup Belgium active,Ophalen België actief
DMP_PostNL::Pickup Belgium title,Ophalen België titel
DMP_PostNL::Pickup Belgium fee,Ophalen België prijs
DMP_PostNL::API Key,API Key,
DMP_PostNL::The API Key.,Stel hier de API key in.
DMP_PostNL::Your username.,Vul hier de gebruikersnaam in voor het platform
DMP_PostNL::To get your personal API credentials you should contact us.,Neem contact met ons op om de API gegevens te ontvangen.
DMP_PostNL::API settings,API Instellingen
DMP_PostNL::Wrong API key. Go to PostNL settings to set the API key.,Verkeerde API key. Ga naar de instellingen van de PostNL plugin om de juiste API key in te vullen.
DMP_PostNL::Version &amp; Support,Versie &amp; Support
DMP_PostNL::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
DMP_PostNL::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
DMP_PostNL::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
DMP_PostNL::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
DMP_PostNL::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
DMP_PostNL::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
DMP_PostNL::PostNL replied with the following warnings:,PostNL heeft geantwoord met de volgende waarschuwingen:
DMP_PostNL::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
DMP_PostNL::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
